"GEO_ID","NAME","B27001G_001E","B27001G_001EA","B27001G_001M","B27001G_001MA","B27001G_002E","B27001G_002EA","B27001G_002M","B27001G_002MA","B27001G_003E","B27001G_003M","B27001G_003MA","B27001G_003EA","B27001G_004E","B27001G_004EA","B27001G_004M","B27001G_004MA","B27001G_005E","B27001G_005EA","B27001G_005M","B27001G_005MA","B27001G_006E","B27001G_006EA","B27001G_006M","B27001G_006MA","B27001G_007E","B27001G_007EA","B27001G_007M","B27001G_007MA","B27001G_008E","B27001G_008EA","B27001G_008M","B27001G_008MA","B27001G_009E","B27001G_009EA","B27001G_009M","B27001G_009MA","B27001G_010E","B27001G_010EA","B27001G_010M","B27001G_010MA","B27001G_011E","B27001G_011EA","B27001G_011M","B27001G_011MA","B27001G_012E","B27001G_012EA","B27001G_012M","B27001G_012MA","B27001G_013E","B27001G_013EA","B27001G_013M","B27001G_013MA","B27001G_014E","B27001G_014M","B27001G_014MA","B27001G_014EA","B27001G_015E","B27001G_015EA","B27001G_015M","B27001G_015MA","B27001G_016E","B27001G_016EA","B27001G_016M","B27001G_016MA","B27001G_017E","B27001G_017EA","B27001G_017M","B27001G_017MA","B27001G_018E","B27001G_018EA","B27001G_018M","B27001G_018MA","B27001G_019E","B27001G_019EA","B27001G_019M","B27001G_019MA","B27001G_020E","B27001G_020EA","B27001G_020M","B27001G_020MA","B27001G_021E","B27001G_021EA","B27001G_021M","B27001G_021MA","B27001G_022E","B27001G_022EA","B27001G_022M","B27001G_022MA","B27001G_023E","B27001G_023EA","B27001G_023M","B27001G_023MA","B27001G_024E","B27001G_024EA","B27001G_024M","B27001G_024MA","B27001G_025E","B27001G_025M","B27001G_025MA","B27001G_025EA","B27001G_026E","B27001G_026EA","B27001G_026M","B27001G_026MA","B27001G_027E","B27001G_027EA","B27001G_027M","B27001G_027MA","B27001G_028E","B27001G_028EA","B27001G_028M","B27001G_028MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Under 6 years:","Annotation of Estimate!!Total:!!Under 6 years:","Margin of Error!!Total:!!Under 6 years:","Annotation of Margin of Error!!Total:!!Under 6 years:","Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!6 to 18 years:","Annotation of Estimate!!Total:!!6 to 18 years:","Margin of Error!!Total:!!6 to 18 years:","Annotation of Margin of Error!!Total:!!6 to 18 years:","Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!19 to 25 years:","Annotation of Estimate!!Total:!!19 to 25 years:","Margin of Error!!Total:!!19 to 25 years:","Annotation of Margin of Error!!Total:!!19 to 25 years:","Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!26 to 34 years:","Annotation of Estimate!!Total:!!26 to 34 years:","Margin of Error!!Total:!!26 to 34 years:","Annotation of Margin of Error!!Total:!!26 to 34 years:","Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 44 years:","Margin of Error!!Total:!!35 to 44 years:","Annotation of Margin of Error!!Total:!!35 to 44 years:","Annotation of Estimate!!Total:!!35 to 44 years:","Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!45 to 54 years:","Annotation of Estimate!!Total:!!45 to 54 years:","Margin of Error!!Total:!!45 to 54 years:","Annotation of Margin of Error!!Total:!!45 to 54 years:","Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!55 to 64 years:","Annotation of Estimate!!Total:!!55 to 64 years:","Margin of Error!!Total:!!55 to 64 years:","Annotation of Margin of Error!!Total:!!55 to 64 years:","Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 to 74 years:","Annotation of Estimate!!Total:!!65 to 74 years:","Margin of Error!!Total:!!65 to 74 years:","Annotation of Margin of Error!!Total:!!65 to 74 years:","Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!65 to 74 years:!!No health insurance coverage","Annotation of Estimate!!Total:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!75 years and over:","Annotation of Estimate!!Total:!!75 years and over:","Margin of Error!!Total:!!75 years and over:","Annotation of Margin of Error!!Total:!!75 years and over:","Estimate!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Estimate!!Total:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!75 years and over:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01015","Calhoun County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01043","Cullman County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01049","DeKalb County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01051","Elmore County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01055","Etowah County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01069","Houston County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01073","Jefferson County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01077","Lauderdale County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
